date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:52:40	27955/27955	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2006:56:28%20GMT	http://www.w3schools.com/xsl/el_sort.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/xsl/el_sort.html	(from http://www.w3schools.com/xsl/xsl_w3celementref.asp)
12:52:40	25857/25857	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2006:57:54%20GMT	http://www.w3schools.com/xsl/el_processing-instruction.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/xsl/el_processing-instruction.html	(from http://www.w3schools.com/xsl/xsl_w3celementref.asp)
12:52:41	27337/27337	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2006:57:55%20GMT	http://www.w3schools.com/xsl/el_stylesheet.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/xsl/el_stylesheet.html	(from http://www.w3schools.com/xsl/xsl_w3celementref.asp)
12:52:43	27874/27874	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2006:48:30%20GMT	http://www.w3schools.com/xsl/el_template.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/xsl/el_template.html	(from http://www.w3schools.com/xsl/xsl_w3celementref.asp)
12:52:44	27543/27543	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2006:57:58%20GMT	http://www.w3schools.com/xsl/el_text.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/xsl/el_text.html	(from http://www.w3schools.com/xsl/xsl_w3celementref.asp)
12:52:47	29094/29094	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2006:57:59%20GMT	http://www.w3schools.com/xsl/el_value-of.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/xsl/el_value-of.html	(from http://www.w3schools.com/xsl/xsl_w3celementref.asp)
12:52:48	28010/28010	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2006:46:29%20GMT	http://www.w3schools.com/xsl/el_variable.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/xsl/el_variable.html	(from http://www.w3schools.com/xsl/xsl_w3celementref.asp)
12:52:56	0/-1	---M--	302	error ('')			http://www.w3schools.com/forum/default.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/forum/default.87f.delayed	(from http://www.w3schools.com/xsl/xsl_w3celementref.asp)
12:52:56	0/-1	---M--	302	error ('')			http://www.w3schools.com/forum/default.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/forum/default.880.delayed	(from http://www.w3schools.com/xml/schema_elements_ref.asp)
12:52:57	26952/26952	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2006:49:54%20GMT	http://www.w3schools.com/xsl/el_with-param.asp	D:/Downloads/Offline%20Sites/W3S/W3School/www.w3schools.com/xsl/el_with-param.html	(from http://www.w3schools.com/xsl/xsl_w3celementref.asp)
